Country,"Birth rate (births/1,000 population)",Children under the age of 5 years underweight (%),"Death rate (deaths/1,000 population)",Health expenditures (% of GDP),HIV/AIDS - adult prevalence rate (%),HIV/AIDS - deaths,HIV/AIDS - people living with HIV/AIDS,"Hospital bed density (beds/1,000 population)","Infant mortality rate (deaths/1,000 live births)",Life expectancy at birth (years),Literacy (%),"Maternal mortality rate (deaths/100,000 live births)","Net migration rate (migrant(s)/1,000 population)",Obesity - adult prevalence rate (%),"Physicians density (physicians/1,000 population)",Population,Population density (Number of people per square kilometer),Population growth rate (%),Total fertility rate (children born/woman),GDP - per capita (PPP) (US$),GDP (purchasing power parity) (Billion $),GDP - real growth rate (%),Inflation rate (consumer prices) (%),Investment (gross fixed) (%),Labor force,Population below poverty line (%),Unemployment rate (%),"Unemployment, youth ages 15-24 (%)"
Angola,44,19,9,3,2,14000,330000,-1,66,61,71,241,0,8,0,30355880,24,3,6,6800,194,-3,30,11,12510000,37,7,39
Niger,44,31,12,7,0,1200,36000,-1,79,56,19,509,-1,6,0,19866232,16,3,6,1200,22,5,2,18,6500000,45,0,1
Mali,43,25,10,6,1,6500,150000,0,68,61,33,562,-4,9,0,18429892,15,3,6,2200,41,5,2,-1,6447000,36,8,2
Chad,43,29,11,5,1,3100,120000,-1,72,58,22,1140,0,6,0,15833116,12,3,6,2300,29,-3,-1,32,5654000,47,-1,-1
Uganda,42,10,10,7,6,23000,1400000,1,55,56,78,375,-1,5,0,40853748,169,3,6,2400,89,5,6,25,15840000,21,9,15
Zambia,41,15,12,5,11,17000,1200000,2,59,53,63,213,0,8,0,16445079,22,3,6,4000,69,3,7,20,6898000,54,15,24
Burundi,41,29,9,6,1,1900,82000,1,57,61,86,548,0,5,0,11844520,426,3,6,700,8,0,17,22,5012000,65,-1,3
Malawi,41,12,8,9,9,13000,1000000,1,42,62,62,349,0,6,0,19842560,167,3,5,1200,22,4,12,13,7000000,51,20,9
Somalia,39,23,13,-1,0,1000,11000,9,93,53,-1,829,-6,8,0,11259029,18,2,6,-1,20,2,2,20,4154000,-1,-1,-1
Liberia,38,15,7,15,1,1800,39000,1,51,64,48,661,-5,10,0,4809768,43,3,5,1300,6,3,12,-1,1677000,54,3,2
Mozambique,38,16,11,5,13,53900,2200000,1,64,54,56,289,-2,7,0,27233788,34,2,5,1300,37,4,15,25,12900000,46,25,7
Afghanistan,38,25,13,10,0,500,7200,1,109,52,38,638,-1,6,0,34940836,54,2,5,2000,69,3,5,-1,8478000,55,24,18
Guinea-Bissau,37,17,9,7,4,1800,44000,1,55,61,60,667,-4,10,0,1833247,51,2,5,1900,3,6,1,-1,731300,67,-1,-1
Burkina Faso,37,16,9,7,1,3300,96000,0,55,62,36,320,-1,6,0,19742716,72,3,5,1900,36,6,0,21,8501000,40,77,-1
Guinea,36,18,9,5,1,4300,120000,0,55,62,30,576,0,8,0,11855411,48,3,5,2200,28,8,9,17,5558000,47,3,1
Ethiopia,36,24,8,4,1,11000,690000,0,48,-1,49,401,0,5,0,108386392,98,3,5,2200,201,11,10,27,52820000,30,18,25
Sierra Leone,36,18,10,18,2,2100,70000,-1,67,59,48,1120,-2,9,0,6312212,88,2,5,1600,12,4,18,-1,2972000,70,15,9
Tanzania,35,14,8,6,5,24000,1600000,1,39,63,78,524,-1,8,0,55451344,59,3,5,3200,163,6,5,27,24890000,23,10,4
Nigeria,35,32,10,4,2,53200,1900000,-1,63,59,60,917,0,9,0,203452512,220,3,5,5900,1121,1,17,18,60080000,70,17,12
Cameroon,35,15,9,5,4,18000,540000,1,50,59,75,529,0,11,0,25640964,54,3,5,3700,90,4,1,21,9912000,30,4,6
Benin,35,17,8,4,1,2200,73000,1,52,63,38,397,0,10,0,11340504,101,3,5,2300,25,6,0,23,3662000,36,1,6
Sudan,34,34,7,6,0,2900,59000,1,44,66,76,295,2,7,0,43120844,23,3,5,4300,177,1,32,27,11920000,47,20,20
Zimbabwe,34,9,10,10,13,22000,1300000,2,32,61,87,458,-7,16,0,14030368,36,2,4,2300,34,4,1,22,7907000,72,11,17
Central African Republic,34,25,13,4,4,4800,110000,1,84,53,37,829,0,8,0,5745062,9,2,4,700,3,4,4,-1,2242000,62,7,-1
"Congo, Republic of the",34,12,9,5,3,4000,89000,-1,54,60,79,378,-3,10,0,5062021,15,2,4,6800,29,-3,1,52,2055000,47,36,-1
East Timor,33,38,6,3,-1,-1,-1,6,34,69,68,142,-4,4,1,1321929,89,2,5,6000,7,-5,1,-1,286700,42,4,13
Senegal,33,14,8,4,0,1300,42000,-1,48,63,52,315,-1,9,0,15020945,76,2,4,3500,55,7,1,26,6966000,47,48,8
Togo,33,16,7,7,2,3800,110000,1,41,66,64,396,0,8,0,8176449,144,3,4,1700,13,4,-1,25,2595000,55,7,4
"Congo, Democratic Republic of the",33,23,9,4,1,13000,450000,-1,67,58,77,473,0,7,0,85281024,36,2,5,800,69,3,42,-1,31360000,63,-1,9
Equatorial Guinea,32,6,8,3,7,1800,62000,2,63,65,95,301,0,8,0,797457,28,2,4,37400,32,-3,1,32,195200,44,9,-1
Sao Tome and Principe,32,9,7,10,1,100,1100,3,44,66,75,130,-8,12,-1,204454,212,2,4,3200,1,4,6,49,72600,66,12,21
Madagascar,31,33,6,5,0,1700,39000,0,40,67,65,335,0,5,0,25683610,44,2,4,1600,40,4,8,19,13400000,71,2,1
Ghana,30,11,7,6,2,14000,330000,1,34,67,77,308,-2,11,0,28102472,118,2,4,4700,134,8,12,29,12490000,24,12,15
Cote d'Ivoire,30,13,8,4,3,16000,460000,-1,63,60,43,617,1,10,0,26260582,81,2,4,3900,97,8,1,15,8747000,46,9,4
Iraq,30,7,4,-1,-1,-1,-1,1,38,75,80,79,-1,30,1,40194216,92,3,4,16700,649,-2,0,10,8900000,23,16,26
Mauritania,30,25,8,5,0,500,5600,-1,51,64,52,766,-1,13,0,3840429,4,2,4,4500,17,4,2,-1,1437000,31,10,15
Rwanda,30,10,6,8,3,2900,220000,-1,29,65,71,248,-1,6,0,12187400,463,2,4,2100,25,6,5,20,6227000,39,3,23
Eritrea,29,39,7,3,1,500,18000,1,44,66,74,480,-13,5,-1,5970646,51,1,4,1600,9,5,9,15,2710000,50,6,-1
Western Sahara,29,-1,8,-1,-1,-1,-1,-1,51,64,-1,-1,5,-1,-1,619551,2,3,4,2500,1,-1,-1,-1,144000,-1,-1,-1
Egypt,29,7,5,5,0,500,22000,2,18,73,81,37,0,32,1,99413320,99,2,3,12700,1204,4,24,16,29950000,28,12,30
"Gambia, The",29,17,7,7,2,1000,26000,1,58,65,56,597,-2,10,0,2092731,185,2,3,2600,6,5,8,28,777100,48,-1,13
Yemen,28,40,6,6,0,500,11000,1,45,66,70,164,0,17,0,28667230,54,2,3,2500,74,-6,25,18,7425000,54,27,25
Namibia,27,13,8,9,12,2700,200000,3,34,64,82,195,0,17,-1,2533224,3,2,3,11200,27,-1,6,23,956800,29,34,45
Gabon,27,6,6,3,4,1200,53000,6,33,68,83,252,7,15,0,2119036,8,3,4,18100,37,1,3,30,557800,34,28,36
Swaziland,26,6,11,8,27,2400,210000,2,47,-1,88,437,-7,17,0,1087200,63,1,3,10100,12,2,6,10,427900,63,28,47
Comoros,25,17,7,8,0,100,200,2,58,65,78,273,-2,8,0,821164,367,2,3,1600,1,3,1,-1,278500,45,7,-1
Guatemala,25,12,5,6,0,2200,47000,1,23,72,82,95,-2,21,0,16581273,152,2,3,8200,138,3,4,15,6664000,59,2,5
Solomon Islands,25,16,4,8,-1,-1,-1,1,14,76,84,104,-2,23,0,660121,23,2,3,2200,1,4,1,-1,202500,-1,-1,1
Lesotho,24,11,15,8,24,6100,340000,-1,45,53,79,544,-7,17,0,1962461,65,0,3,3300,7,-2,5,37,930800,57,28,34
Oman,24,10,3,4,0,100,3200,2,12,76,96,19,0,27,2,4613241,15,2,3,46000,190,-1,2,26,2255000,-1,-1,14
Tuvalu,24,-1,8,15,-1,-1,-1,-1,28,67,-1,-1,-7,52,1,11147,429,1,3,3800,0,3,4,-1,3615,26,-1,21
Jordan,24,3,3,7,0,100,500,1,14,75,95,46,0,36,2,10458413,117,2,3,9200,89,2,3,26,2295000,14,18,36
Vanuatu,24,11,4,4,-1,-1,-1,-1,14,74,85,72,-1,25,0,288037,24,2,3,2700,1,4,3,-1,115900,-1,2,11
Philippines,23,22,6,4,0,1200,77000,1,21,70,96,121,-2,6,1,105893384,353,2,3,8400,877,7,3,19,42780000,22,6,8
Papua New Guinea,23,28,7,4,1,1100,45000,-1,35,68,64,145,0,21,0,7027332,15,2,3,3700,30,3,5,21,3681000,37,3,4
Djibouti,23,30,8,4,1,500,8800,1,44,64,-1,248,6,14,0,884017,38,2,2,3600,4,7,1,-1,294600,23,40,-1
Nauru,23,-1,6,5,-1,-1,-1,5,8,68,-1,-1,-12,61,1,9692,462,1,3,12300,0,4,5,-1,-1,-1,23,27
Laos,23,27,7,3,0,500,12000,2,48,65,85,185,-1,5,1,7234171,31,1,3,7400,49,7,1,29,3582000,22,1,18
Belize,23,5,4,6,2,200,4900,1,12,75,-1,36,-1,24,1,385854,17,2,3,8300,3,1,1,30,120500,41,9,15
Tajikistan,23,8,6,7,0,500,13000,5,31,68,100,17,-1,14,2,8604882,60,2,3,3200,28,7,7,17,2295000,32,2,17
Kenya,23,11,7,5,5,25000,1600000,1,36,65,78,342,0,7,0,48397528,83,2,3,3500,164,5,8,22,19600000,36,40,-1
Haiti,23,10,8,7,2,2700,160000,1,45,65,61,480,-2,23,0,10788440,389,1,3,1800,20,1,15,37,4594000,59,41,-1
Cambodia,23,24,7,6,1,1300,73000,1,46,65,81,160,0,4,0,16449519,91,1,2,4000,64,7,3,20,8913000,17,0,1
Honduras,22,7,5,8,0,1000,23000,1,17,71,89,65,-1,21,0,9182766,82,2,3,5600,46,5,4,25,3735000,30,6,8
Tonga,22,2,5,6,-1,-1,-1,3,11,77,99,52,-18,48,1,106398,142,0,3,5900,1,3,7,-1,33800,23,1,-1
Botswana,22,-1,10,6,20,4800,370000,2,29,64,89,144,3,19,0,2249104,4,2,3,17000,39,2,3,30,1177000,19,20,36
Bolivia,22,3,6,7,0,1000,22000,1,34,70,93,155,0,20,2,11306341,10,1,3,7600,84,4,3,18,5719000,39,4,7
Kyrgyzstan,22,3,6,-1,0,200,8500,5,25,71,100,60,-5,17,2,5849296,29,1,3,3700,23,5,3,26,2841000,32,7,15
Pakistan,22,23,6,3,0,6400,160000,1,50,68,58,140,-1,9,1,207862512,261,1,3,5400,1061,5,4,11,63890000,30,6,8
Algeria,22,3,4,7,0,200,16000,2,19,77,80,112,-1,27,2,41657488,17,2,3,15200,630,1,6,32,11820000,23,12,26
Kiribati,21,15,7,8,-1,-1,-1,2,31,67,-1,92,-3,46,0,109367,135,1,2,2000,0,3,0,-1,39000,-1,31,17
Syria,21,10,4,-1,0,100,1000,2,14,75,86,31,57,28,1,19454264,104,7,2,2900,50,-37,28,21,3767000,83,50,36
Samoa,20,3,5,6,-1,-1,-1,-1,18,74,99,43,-9,47,0,201316,71,1,3,5700,1,3,1,-1,50700,-1,5,32
South Africa,20,6,9,8,20,71000,7700000,-1,30,64,94,119,-1,28,1,55380208,45,1,2,13600,767,1,5,19,22190000,17,28,53
Cape Verde,20,-1,6,5,1,100,2400,2,21,73,87,58,-1,12,1,568373,141,1,2,7000,4,4,1,34,196100,30,9,33
Nepal,19,27,6,6,0,900,30000,3,27,71,64,186,-3,4,1,29717588,202,1,2,2700,79,8,5,-1,16810000,25,3,-1
Dominican Republic,19,4,6,6,1,1200,70000,2,23,71,94,95,-3,28,2,10298756,212,1,2,17000,173,5,3,16,4732000,31,5,14
Turkmenistan,19,3,6,6,-1,-1,-1,7,33,71,100,7,-2,19,2,5411012,11,1,2,18200,104,7,8,11,2305000,0,11,-1
Malaysia,19,14,5,4,0,2600,87000,2,12,75,95,29,0,16,2,31809660,96,1,2,29100,933,6,4,26,14940000,4,3,11
Kuwait,19,3,2,4,0,100,1000,2,7,78,96,12,-3,38,3,2916467,164,1,2,65800,290,-3,2,14,2695000,-1,1,15
India,19,36,7,4,0,69000,2100000,1,38,69,71,145,0,4,1,1296834048,395,1,2,7200,9474,7,4,30,521900000,22,9,10
Bangladesh,19,33,5,2,0,1000,14000,1,31,74,73,173,-3,4,1,159453008,1074,1,2,4200,690,7,6,25,66640000,24,4,13
Venezuela,19,3,5,3,1,-1,120000,1,12,76,97,125,-1,26,-1,31689176,35,1,2,12500,382,-14,88,20,14210000,20,27,15
Fiji,18,-1,6,4,0,100,1000,2,9,73,-1,34,-6,30,1,926276,51,1,2,9800,9,3,3,-1,353100,31,5,15
Mongolia,18,1,6,4,0,100,1000,7,21,70,98,45,-1,21,3,3103428,2,1,2,13000,40,5,5,-1,1241000,30,8,18
Mexico,18,4,5,6,0,4000,230000,2,11,76,95,33,-2,29,2,125959208,64,1,2,19900,2463,2,6,21,54510000,46,3,7
Israel,18,-1,5,7,0,100,9000,3,3,83,98,3,2,26,3,8424904,384,1,3,36400,317,3,0,19,4021000,22,4,7
Burma,18,19,7,5,1,7800,240000,1,34,69,76,250,-2,6,1,55622504,82,1,2,6300,330,7,4,16,22300000,26,4,4
Ecuador,18,5,5,8,0,1000,44000,2,16,77,94,59,0,20,2,16498502,58,1,2,11500,193,2,0,27,8086000,22,5,8
Peru,18,3,6,5,0,1000,79000,2,18,74,94,88,-2,20,1,31331228,24,1,2,13500,430,3,3,27,17030000,23,7,15
Panama,18,-1,5,7,1,500,26000,2,10,79,95,52,0,23,2,3800644,50,1,2,25400,104,5,1,29,1633000,23,6,11
Nicaragua,18,5,5,8,0,200,9400,1,18,74,83,198,-3,24,1,6085213,47,1,2,5900,36,5,4,33,3046000,30,6,9
Morocco,18,3,5,6,0,500,21000,1,21,77,69,70,-3,26,1,34314128,77,1,2,8600,299,4,1,31,12000000,15,10,22
Kazakhstan,18,2,8,4,0,500,26000,7,19,71,100,10,0,21,3,18744548,7,1,2,26300,479,4,7,21,8970000,3,5,4
Iran,17,4,5,8,0,2600,61000,0,16,74,86,16,0,26,1,83024744,50,1,2,20100,1640,4,10,32,30500000,19,12,28
Tunisia,17,3,6,7,0,100,2800,2,12,76,82,43,-2,27,1,11516189,70,1,2,11900,138,2,5,22,4054000,16,16,35
Libya,17,-1,4,-1,0,200,9200,4,11,77,91,72,1,33,2,6754507,4,1,2,9600,62,64,29,5,1114000,-1,30,49
Bhutan,17,13,6,4,0,100,1300,2,30,71,65,183,0,6,0,766397,20,1,2,9000,7,7,6,-1,397900,12,3,11
Brunei,17,10,4,2,-1,-1,-1,3,9,78,96,31,2,14,2,450565,78,2,2,78900,34,1,0,-1,203600,-1,7,29
Paraguay,17,1,5,8,1,1000,21000,1,18,78,95,84,0,20,1,7025763,17,1,2,12800,89,5,4,15,3428000,22,6,15
Uzbekistan,17,-1,5,6,0,1300,52000,4,17,74,100,29,-2,17,2,30023708,67,1,2,6900,223,5,13,-1,18120000,14,5,-1
Jamaica,17,2,8,6,2,1500,40000,2,12,75,89,80,-9,25,1,2812090,256,0,2,9200,26,1,4,21,1348000,17,12,24
Argentina,17,-1,8,8,0,1700,140000,5,10,78,99,39,0,28,4,44694200,16,1,2,20900,922,3,26,22,18000000,26,8,23
El Salvador,16,5,6,7,1,1000,25000,1,16,75,88,46,-8,25,2,6187271,294,0,2,8000,51,2,1,14,2774000,33,7,10
Indonesia,16,20,7,3,0,38000,640000,1,22,73,95,177,-1,7,0,262787408,138,1,2,12400,3250,5,4,33,125000000,11,5,16
Colombia,16,3,6,6,0,4400,160000,2,13,76,95,83,-1,22,2,48168996,42,1,2,14400,712,2,4,24,25760000,28,9,19
Antigua and Barbuda,16,-1,6,4,1,100,1000,4,12,77,99,-1,2,19,3,95882,217,1,2,26400,2,3,3,-1,30000,-1,11,-1
Suriname,16,6,6,7,1,100,5600,3,24,73,96,120,1,26,1,597927,4,1,2,14900,9,2,22,20,144000,70,9,13
Saudi Arabia,16,-1,3,6,0,500,8200,3,12,76,95,17,4,35,2,33091112,15,2,2,54500,1775,-1,-1,27,13800000,-1,6,24
Turkey,15,2,6,4,-1,-1,-1,3,17,75,96,17,-5,32,2,81257240,104,0,2,27000,2186,7,11,20,31300000,22,11,21
Guyana,15,8,7,5,1,200,8200,2,30,69,89,667,-3,20,1,740685,3,0,2,8100,6,2,2,22,313800,35,11,22
Azerbaijan,15,5,7,7,0,500,8000,5,23,73,100,26,0,20,3,10046516,116,1,2,17500,172,0,13,23,5118000,5,5,13
Costa Rica,15,-1,5,8,0,500,15000,1,8,79,98,27,1,26,1,4987142,98,1,2,16900,84,3,2,20,2229000,22,8,21
Grenada,15,-1,8,5,1,100,500,4,9,75,99,25,-3,21,1,112207,326,0,2,15100,2,5,1,-1,55270,38,24,-1
Vietnam,15,14,6,6,0,4700,230000,3,17,74,95,43,0,2,1,97040336,293,1,2,6900,649,7,4,28,54800000,8,2,7
"Bahamas, The",15,-1,7,6,2,200,6000,3,11,73,-1,70,0,32,2,332634,24,1,2,32400,12,1,1,-1,196900,9,10,26
Dominica,15,-1,8,5,1,100,500,4,10,77,-1,-1,-5,28,1,74027,99,0,2,11000,1,-5,1,16,25000,29,23,-1
Sri Lanka,15,21,6,3,0,200,3500,4,8,77,92,36,-1,5,1,22576592,344,1,2,12900,276,3,7,29,8937000,7,4,21
New Caledonia,15,-1,6,-1,-1,-1,-1,-1,5,78,97,-1,4,-1,2,282754,15,1,2,31100,11,2,1,-1,119500,17,15,38
"Korea, North",15,9,9,-1,-1,-1,-1,13,21,71,100,89,0,7,4,25381084,211,1,2,1700,40,-1,-1,-1,14000000,-1,26,-1
Greenland,14,-1,9,-1,-1,-1,-1,8,9,73,100,-1,-6,-1,2,57691,0,0,2,41800,2,8,0,-1,26840,16,9,-1
Lebanon,14,-1,5,7,0,100,2500,3,7,78,94,29,-40,32,2,6100075,587,-3,2,19600,88,2,5,33,2166000,29,10,-1
Brazil,14,-1,7,12,1,15000,900000,2,17,74,92,60,0,22,2,208846896,25,1,2,15600,3248,1,3,18,104200000,4,13,29
Ireland,14,-1,7,8,0,100,7200,3,4,81,-1,5,4,25,3,5068050,72,1,2,73200,353,7,0,10,2226000,8,7,14
Iceland,14,-1,7,9,0,100,500,3,2,83,-1,4,4,22,4,343518,3,1,2,52200,18,4,2,14,198700,-1,3,8
Chile,13,1,6,9,1,1000,71000,2,6,79,97,13,0,28,1,17925262,24,1,2,24600,452,2,2,24,8881000,14,7,18
Seychelles,13,4,7,3,-1,-1,-1,4,10,75,92,-1,1,14,1,94633,208,1,2,29300,3,5,3,37,47210,39,3,11
Albania,13,2,7,7,-1,100,1400,3,12,79,98,15,-3,22,1,3057220,106,0,2,12500,36,4,2,26,1198000,14,14,32
Bahrain,13,-1,3,5,0,100,500,2,9,79,96,14,12,30,1,1442659,1898,2,2,49000,71,4,1,20,831600,-1,4,5
New Zealand,13,-1,8,9,0,100,3600,3,4,81,-1,9,2,31,3,4545627,17,1,2,39000,189,3,2,19,2655000,-1,5,13
Saint Lucia,13,3,8,6,1,100,1000,1,11,78,-1,117,-2,20,0,165510,269,0,2,14400,3,3,0,-1,79700,-1,20,46
Saint Vincent and the Grenadines,13,-1,7,4,2,100,1200,3,12,76,-1,98,-8,24,1,101844,262,0,2,11500,1,1,2,-1,57520,-1,19,-1
Uruguay,13,4,9,9,1,200,14000,3,8,78,99,17,-1,28,5,3369299,19,0,2,22400,78,3,6,21,1748000,10,8,25
Saint Kitts and Nevis,13,-1,7,6,1,100,200,5,8,76,-1,-1,1,23,3,53094,203,1,2,28200,2,2,0,-1,18170,-1,5,-1
Mauritius,13,-1,7,6,1,1000,13000,4,10,76,93,61,0,11,3,1364283,669,1,2,22300,28,4,4,23,633900,8,7,24
Armenia,13,3,10,10,0,200,3500,4,12,75,100,26,-6,20,3,3038217,102,0,2,9500,28,8,1,31,1507000,32,19,36
